 ### MINIMUM SPANNING TREE ###
* 0.10 (0,10)
* 0.37 (1,2)
* 0.88 (1,18)
* 0.47 (2,13)
* 1.02 (3,11)
* 0.20 (4,20)
* 0.31 (4,30)
* 0.04 (5,9)
* 0.26 (5,13)
* 0.65 (5,31)
* 0.31 (6,9)
* 0.39 (7,10)
* 0.11 (7,17)
* 0.16 (8,26)
* 1.18 (9,11)
* 0.49 (9,15)
* 1.52 (9,22)
* 0.44 (11,27)
* 1.05 (12,20)
* 0.72 (13,17)
* 0.53 (13,25)
* 0.57 (14,22)
* 1.77 (14,29)
* 0.68 (15,20)
* 0.08 (16,18)
* 0.45 (16,26)
* 0.16 (17,23)
* 0.45 (19,23)
* 0.16 (20,21)
* 2.56 (23,24)
* 0.77 (28,30)
[!] CHECK VALUES.. 31 .. OK!
[*] MST weight: 18.85
[7] Tempo di Calcolo: 89.41 us
[7] Tempo di Comunicazione: 58.15 ms
[9] Tempo di Calcolo: 65.80 us
[9] Tempo di Comunicazione: 61.65 ms
[13] Tempo di Calcolo: 85.12 us
[13] Tempo di Comunicazione: 57.45 ms
[15] Tempo di Calcolo: 71.29 us
[15] Tempo di Comunicazione: 59.40 ms
[17] Tempo di Calcolo: 66.28 us
[17] Tempo di Comunicazione: 60.38 ms
[23] Tempo di Calcolo: 72.00 us
[23] Tempo di Comunicazione: 61.47 ms
[25] Tempo di Calcolo: 77.96 us
[25] Tempo di Comunicazione: 64.73 ms
[31] Tempo di Calcolo: 78.92 us
[31] Tempo di Comunicazione: 59.16 ms
[11] Tempo di Calcolo: 64.61 us
[11] Tempo di Comunicazione: 61.75 ms
[27] Tempo di Calcolo: 74.86 us
[27] Tempo di Comunicazione: 58.61 ms
[19] Tempo di Calcolo: 79.39 us
[19] Tempo di Comunicazione: 61.97 ms
[29] Tempo di Calcolo: 3504.51 us
[29] Tempo di Comunicazione: 59.19 ms
[1] Tempo di Calcolo: 73.19 us
[1] Tempo di Comunicazione: 60.26 ms
[3] Tempo di Calcolo: 71.29 us
[3] Tempo di Comunicazione: 61.75 ms
[21] Tempo di Calcolo: 81.30 us
[21] Tempo di Comunicazione: 60.32 ms
[6] Tempo di Calcolo: 81.78 us
[6] Tempo di Comunicazione: 68.33 ms
[10] Tempo di Calcolo: 68.66 us
[10] Tempo di Comunicazione: 80.03 ms
[14] Tempo di Calcolo: 87.74 us
[14] Tempo di Comunicazione: 66.33 ms
[18] Tempo di Calcolo: 67.47 us
[18] Tempo di Comunicazione: 66.73 ms
[22] Tempo di Calcolo: 68.19 us
[22] Tempo di Comunicazione: 65.52 ms
[26] Tempo di Calcolo: 80.35 us
[26] Tempo di Comunicazione: 74.08 ms
[30] Tempo di Calcolo: 81.54 us
[30] Tempo di Comunicazione: 66.28 ms
[0] Tempo di Calcolo: 90.84 us
[0] Tempo di Comunicazione: 70.23 ms
[2] Tempo di Calcolo: 72.96 us
[2] Tempo di Comunicazione: 75.71 ms
[4] Tempo di Calcolo: 95.84 us
[4] Tempo di Comunicazione: 66.64 ms
[8] Tempo di Calcolo: 82.73 us
[8] Tempo di Comunicazione: 74.61 ms
[12] Tempo di Calcolo: 77.72 us
[12] Tempo di Comunicazione: 84.89 ms
[16] Tempo di Calcolo: 89.17 us
[16] Tempo di Comunicazione: 63.32 ms
[20] Tempo di Calcolo: 83.92 us
[20] Tempo di Comunicazione: 66.56 ms
[24] Tempo di Calcolo: 63.90 us
[24] Tempo di Comunicazione: 75.61 ms
[28] Tempo di Calcolo: 86.07 us
[28] Tempo di Comunicazione: 86.55 ms
[5] Tempo di Calcolo: 85.35 us
[5] Tempo di Comunicazione: 60.54 ms
