0.0	0.47	2.7	6.18	0.0	0.0	0.0	0.0	6.63	1.61	2.92	9.99	3.67	0.0	6.42	6.61
0.47	0.0	0.0	0.52	0.33	0.0	1.11	8.07	6.5	0.0	0.0	0.0	0.0	5.71	0.0	0.0
2.7	0.0	0.0	0.0	7.28	8.94	0.0	0.0	0.0	0.0	4.62	0.0	0.0	0.0	0.0	0.0
6.18	0.52	0.0	0.0	3.16	2.57	0.0	8.28	0.0	3.65	9.76	4.64	6.23	1.9	1.93	0.0
0.0	0.33	7.28	3.16	0.0	2.02	7.5	0.0	3.78	2.45	0.02	0.0	0.0	3.28	0.0	0.0
0.0	0.0	8.94	2.57	2.02	0.0	4.17	1.59	0.0	0.78	0.0	0.0	0.0	0.23	8.99	0.0
0.0	1.11	0.0	0.0	7.5	4.17	0.0	1.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	8.07	0.0	8.28	0.0	1.59	1.36	0.0	0.0	0.0	0.0	2.01	7.55	0.0	6.15	0.0
6.63	6.5	0.0	0.0	3.78	0.0	0.0	0.0	0.0	0.0	0.0	6.87	0.0	4.5	6.03	2.21
1.61	0.0	0.0	3.65	2.45	0.78	0.0	0.0	0.0	0.0	2.02	6.31	0.76	7.38	0.0	9.78
2.92	0.0	4.62	9.76	0.02	0.0	0.0	0.0	0.0	2.02	0.0	0.0	0.06	0.0	0.85	3.41
9.99	0.0	0.0	4.64	0.0	0.0	0.0	2.01	6.87	6.31	0.0	0.0	0.74	7.46	9.49	3.91
3.67	0.0	0.0	6.23	0.0	0.0	0.0	7.55	0.0	0.76	0.06	0.74	0.0	9.02	1.66	0.0
0.0	5.71	0.0	1.9	3.28	0.23	0.0	0.0	4.5	7.38	0.0	7.46	9.02	0.0	0.0	0.0
6.42	0.0	0.0	1.93	0.0	8.99	0.0	6.15	6.03	0.0	0.85	9.49	1.66	0.0	0.0	7.55
6.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21	9.78	3.41	3.91	0.0	0.0	7.55	0.0
